"abbr","league","club_name","fifa_club_name"
"HER_ESP","Spanish La Liga","Hércules","Hércules CF"
"HERT","German Bundesliga","Hertha BSC","Hertha BSC"
"HOF","German Bundesliga","TSG 1899 Hoffenheim","TSG 1899 Hoffenheim"
"HSV","German Bundesliga","Hambuger SV","Hamburger SV"
"HUD","English Premier League","Huddersfield Town","Huddersfield Town"
"HUE","Spanish La Liga","Huesca","SD Huesca"
"HUL","English Premier League","Hull City","Hull City"
"ING","German Bundesliga","FC Ingolstadt 04","FC Ingolstadt 04"
"INT","Italian Serie A","Inter","Inter"
"IPS","English Premier League","Ipswich Town","Ipswich Town"
"IST","French Ligue 1","Istres","FC Istres Ouest Provence"
"JUV","Italian Serie A","Juventus","Juventus"
"KAR","German Bundesliga","Karlsruher SC","Karlsruher SC"
"LAZ","Italian Serie A","Lazio","Lazio"
"LEC","Italian Serie A","Lecce","Lecce"
"LEE","English Premier League","Leeds","Leeds United"
"LEG","Spanish La Liga","CD Leganés","CD Leganés"
"LEI","English Premier League","Leicester","Leicester City"
"LEV","Spanish La Liga","Levante UD","Levante UD"
"LILL","French Ligue 1","LOSC Lille","LOSC Lille"
"LIV","English Premier League","Liverpool","Liverpool"
"LOR","French Ligue 1","Lorient","FC Lorient"
"LPA","Spanish La Liga","UD Las Palmas","UD Las Palmas"
"LVO","Italian Serie A","Livorno","Livorno"
"LYON","French Ligue 1","Olympique Lyonnais","Olympique Lyonnais"
"MAD","Spanish La Liga","Real Madrid","Real Madrid"
"MAIN","German Bundesliga","1. FSV Mainz 05","1. FSV Mainz 05"
"MAL","Spanish La Liga","Mallorca","RCD Mallorca"
"MAN","English Premier League","Manchester United","Manchester United"
"MAR","French Ligue 1","Olympique de Marseille","Olympique de Marseille"
"MCF","Spanish La Liga","Málaga CF","Málaga CF"
"Messina","Italian Serie A","Messina","Messina"
"METZ","French Ligue 1","FC Metz","FC Metz"
"MID","English Premier League","Middlesbrough","Middlesbrough"
"MIL","Italian Serie A","Milan","Milan"
"MNC","English Premier League","Manchester City","Manchester City"
"MNS","French Ligue 1","Le Mans","Le Mans FC"
"MOD","Italian Serie A","Modena","Modena"
"MON","French Ligue 1","Monaco","AS Monaco"
"MONT","French Ligue 1","Montpellier HSC","Montpellier HSC"
"MUN","German Bundesliga","Bayern Munchen","FC Bayern München"
"MUR","Spanish La Liga","Real Murcia","Real Murcia Club de Fútbol"
"NAC","Dutch Eredivisie","NAC Breda","NAC Breda"
"NANT","French Ligue 1","FC Nantes","FC Nantes"
"NAP","Italian Serie A","Napoli","Napoli"
"NEC","Dutch Eredivisie","NEC","NEC Nijmegen"
"NEW","English Premier League","Newcastle United","Newcastle United"
"NICE","French Ligue 1","OGC Nice","OGC Nice"
"NIM","French Ligue 1","Nimes","Nîmes Olympique"
"NOR","English Premier League","Norwich City","Norwich City"
"NOV","Italian Serie A","Novara","Novara Calcio"
"NUM","Spanish La Liga","CD Numancia","CD Numancia"
"NUR","German Bundesliga","1. FC Nürnberg","1. FC Nürnberg"
"OSA","Spanish La Liga","Osasuna","CA Osasuna"
"OVI","Spanish La Liga","Real Oviedo","Real Oviedo"
"PAD","German Bundesliga","SC Paderborn 07 ","SC Paderborn 07"
"PAL","Italian Serie A","Palermo","Palermo"
"PAR","Italian Serie A","Parma","Parma"
"PEC","Dutch Eredivisie","PEC Zwolle","PEC Zwolle"
"PER","Italian Serie A","Perugia","Perugia"
"PES","Italian Serie A","Pescara","Pescara"
"PIA","Italian Serie A","Piacenza","Piacenza"
"POR","English Premier League","Portsmouth","Portsmouth"
"PSG","French Ligue 1","PSG","Paris Saint-Germain"
"PSV","Dutch Eredivisie","PSV Eindhoven","PSV"
"QPR","English Premier League","Queens Park Rangers","Queens Park Rangers"
"RAC","Spanish La Liga","Racing Club","Racing Santander"
"RAY","Spanish La Liga","Rayo Vallecano","Rayo Vallecano"
"RBL","German Bundesliga","RB Leipzig","RB Leipzig"
"RCL","French Ligue 1","Racing Club de Lens","Racing Club de Lens"
"REA","English Premier League","Reading","Reading"
"REG","Italian Serie A","Reggina","Urbs Reggina 1914"
"REIM","French Ligue 1","Stade de Reims","Stade de Reims"
"REN","French Ligue 1","Rennes","Stade Rennais FC"
"RJC","Dutch Eredivisie","Roda JC","Roda JC Kerkrade"
"RKC","Dutch Eredivisie","RKC Waalwijk","RKC Waalwijk"
"ROMA","Italian Serie A","Roma","Roma"
"Roosendaal","Dutch Eredivisie","Roosendaal","Roosendaal"
"RSG","Spanish La Liga","Real Sporting Gijón","Real Sporting de Gijón"
"RSO","Spanish La Liga","Real Sociedad","Real Sociedad"
"SAL","Italian Serie A","Salernitana","Salernitana"
"SAM","Italian Serie A","Sampdoria","Sampdoria"
"SAS","Italian Serie A","Sassuolo","Sassuolo"
"SCHA","German Bundesliga","FC Schalke 04","FC Schalke 04"
"SED","French Ligue 1","Sedan","CS Sedan Ardennes"
"SEV","Spanish La Liga","Sevilla","Sevilla FC"
"SGE","German Bundesliga","Eintracht Frankfurt","Eintracht Frankfurt"
"SHU","English Premier League","Sheffield United FC","Sheffield United"
"SNA","Italian Serie A","Siena","Siena"
